the	DT
be	VB
of	IN
and	CC
a	DT
to	TO
in	IN
he	PRP
have	VB
it	PRP
that	DT
for	IN
they	PRP
I	PRP
with	IN
as	RB
not	RB
on	IN
she	PRP
at	IN
by	IN
this	DT
we	PRP
you	PRP
do	VB
but	CC
from	IN
or	CC
which	WDT
one	CD
would	MD
all	DT
will	MD
there	RB
say	VB
who	WP
make	VB
when	WRB
can	MD
more	RBR
if	IN
no	DT
man	NN
out	RB
other	JJ
so	RB
what	WDT
time	NN
up	RB
go	VB
about	RB
than	IN
into	IN
could	MD
state	NN
only	RB
new	JJ
year	NN
some	DT
take	VB
come	VBN
these	DT
know	VB
see	VB
use	NN
get	VB
like	IN
then	RB
first	RB
any	DT
work	NN
now	RB
may	MD
such	JJ
give	VB
over	IN
think	VB
most	JJS
even	RB
find	VB
day	NN
also	RB
after	IN
way	NN
many	JJ
must	MD
look	NN
before	RB
great	JJ
back	RB
through	IN
long	RB
where	WRB
much	RB
should	MD
well	RB
people	NNS
down	RB
own	JJ
just	RB
because	RB
good	JJ
each	DT
those	DT
feel	VB
seem	VB
how	WRB
high	RB
too	RB
place	NN
little	RB
world	NN
very	RB
still	RB
nation	NN
hand	NN
old	JJ
life	NN
tell	VB
write	VB
become	VBN
here	RB
show	NN
house	NN
both	DT
between	IN
need	NN
mean	NN
call	NN
develop	VB
under	IN
last	JJ
right	RB
move	NN
thing	NN
general	JJ
school	NN
never	RB
same	JJ
another	DT
begin	VB
while	IN
number	NN
part	NN
turn	NN
real	RB
leave	NN
might	MD
want	VB
point	NN
form	NN
off	RB
child	NN
few	JJ
small	JJ
since	IN
against	IN
ask	VB
late	RB
home	NN
interest	NN
large	JJ
person	NN
end	NN
open	JJ
public	NN
follow	VB
during	IN
present	JJ
without	IN
again	RB
hold	NN
govern	VB
around	RB
possible	JJ
head	NN
consider	VB
word	NN
program	NN
problem	NN
however	RB
lead	NN
system	NN
set	VBN
order	NN
eye	NN
plan	NN
run	NN
keep	VB
face	NN
fact	NN
group	NN
play	NN
stand	VB
increase	NN
early	RB
course	NN
change	NN
help	NN
line	NN
city	NN
put	VBN
close	RB
case	NN
force	NN
meet	VB
once	RB
water	NN
upon	IN
war	NN
build	VB
hear	VB
light	NN
unite	VB
live	VB
every	DT
country	NN
bring	VB
center	NN
let	VB
side	NN
try	VB
provide	VB
continue	VB
name	NN
certain	JJ
power	NN
pay	NN
result	NN
question	NN
study	NN
woman	NN
member	NN
until	IN
far	RB
night	NN
always	RB
service	NN
away	RB
report	NN
something	NN
company	NN
week	NN
church	NN
toward	IN
start	NN
social	JJ
room	NN
figure	NN
nature	NN
though	RB
young	JJ
less	RBR
enough	RB
almost	RB
read	NN
include	VB
president	NN
nothing	NN
yet	RB
better	RB
big	JJ
boy	NN
cost	NN
business	NN
value	NN
second	JJ
why	WRB
clear	JJ
expect	VB
family	NN
complete	JJ
act	NN
sense	NN
mind	NN
experience	NN
art	NN
next	RB
near	IN
direct	JJ
car	NN
law	NN
industry	NN
important	JJ
girl	NN
god	NN
several	JJ
matter	NN
usual	JJ
rather	RB
per	IN
often	RB
kind	NN
among	IN
white	JJ
reason	NN
action	NN
return	NN
foot	NN
care	NN
simple	JJ
within	IN
love	NN
human	JJ
along	RB
appear	VB
doctor	NN
believe	VB
speak	VB
active	JJ
student	NN
month	NN
drive	NN
concern	NN
best	RB
door	NN
hope	NN
example	NN
inform	VB
body	NN
ever	RB
least	JJS
probable	JJ
understand	VB
reach	NN
effect	NN
different	JJ
idea	NN
whole	NN
control	NN
condition	NN
field	NN
pass	NN
fall	NN
note	NN
special	JJ
talk	NN
particular	JJ
today	NN
measure	NN
walk	NN
teach	VB
low	JJ
hour	NN
type	NN
carry	VB
rate	NN
remain	VB
full	JJ
street	NN
easy	RB
although	IN
record	NN
sit	VB
determine	VB
level	NN
local	JJ
sure	RB
receive	VB
thus	RB
moment	NN
spirit	NN
train	NN
college	NN
religion	NN
perhaps	RB
music	NN
grow	VB
free	JJ
cause	NN
serve	VB
age	NN
book	NN
board	NN
recent	JJ
sound	NN
office	NN
cut	NN
step	NN
class	NN
true	JJ
history	NN
position	NN
above	RB
strong	JJ
friend	NN
necessary	JJ
add	VB
court	NN
deal	NN
tax	NN
support	NN
party	NN
whether	IN
either	RB
land	NN
material	NN
happen	VB
education	NN
death	NN
agree	VB
arm	NN
mother	NN
across	IN
quite	RB
anything	NN
town	NN
past	NN
view	NN
society	NN
manage	VB
answer	NN
break	NN
organize	VB
half	NN
fire	NN
lose	VB
money	NN
stop	NN
actual	JJ
already	RB
effort	NN
wait	NN
department	NN
able	JJ
political	JJ
learn	VB
voice	NN
air	NN
together	RB
shall	MD
cover	NN
common	JJ
subject	NN
draw	NN
short	RB
wife	NN
treat	NN
limit	NN
road	NN
letter	NN
color	NN
behind	RB
produce	VB
send	VB
term	NN
total	NN
university	NN
rise	NN
century	NN
success	NN
minute	NN
remember	VB
purpose	NN
test	NN
fight	NN
watch	NN
situation	NN
south	RB
ago	RB
difference	NN
stage	NN
father	NN
table	NN
rest	NN
bear	NN
entire	JJ
market	NN
prepare	VB
explain	VB
offer	NN
plant	NN
charge	NN
ground	NN
west	NN
picture	NN
hard	RB
front	NN
lie	NN
modern	JJ
dark	JJ
surface	NN
rule	NN
regard	NN
dance	NN
peace	NN
observe	VB
future	NN
wall	NN
farm	NN
claim	NN
firm	NN
operation	NN
further	RB
pressure	NN
property	NN
morning	NN
amount	NN
top	NN
outside	RB
piece	NN
sometimes	RB
beauty	NN
trade	NN
fear	NN
demand	NN
wonder	NN
list	NN
accept	VB
judge	NN
paint	NN
mile	NN
soon	RB
responsible	JJ
allow	VB
secretary	NN
heart	NN
union	NN
slow	JJ
island	NN
enter	VB
drink	NN
story	NN
experiment	NN
stay	NN
paper	NN
space	NN
apply	VB
decide	VB
share	NN
desire	NN
spend	VB
sign	NN
therefore	RB
various	JJ
visit	NN
supply	NN
officer	NN
doubt	NN
private	JJ
immediate	JJ
wish	NN
contain	VB
feed	NN
raise	NN
describe	VB
ready	JJ
horse	NN
son	NN
exist	VB
north	RB
suggest	VB
station	NN
effective	JJ
food	NN
deep	RB
wide	JJ
alone	RB
character	NN
english	JJ
happy	JJ
critic	NN
unit	NN
product	NN
respect	NN
drop	NN
nor	CC
fill	NN
cold	JJ
represent	VB
sudden	JJ
basic	JJ
kill	NN
fine	NN
trouble	NN
mark	NN
single	JJ
press	NN
heavy	JJ
attempt	NN
origin	NN
standard	NN
everything	NN
committee	NN
moral	JJ
black	JJ
red	JJ
bad	JJ
earth	NN
accord	NN
else	RB
mere	JJ
die	VB
remark	NN
basis	NN
except	IN
equal	JJ
east	RB
event	NN
employ	VB
defense	NN
smile	NN
river	NN
improve	VB
game	NN
detail	NN
account	NN
cent	NN
sort	NN
reduce	VB
club	NN
buy	VB
attention	NN
ship	NN
decision	NN
wear	NN
inside	RB
win	VB
suppose	VB
ride	NN
operate	VB
realize	VB
sale	NN
choose	VB
park	NN
square	NN
vote	NN
price	NN
district	NN
dead	JJ
foreign	JJ
window	NN
beyond	IN
direction	NN
strike	NN
instead	RB
trial	NN
practice	NN
catch	NN
opportunity	NN
likely	RB
recognize	VB
permit	NN
serious	JJ
attack	NN
floor	NN
association	NN
spring	NN
lot	NN
stock	NN
lack	NN
hair	NN
science	NN
relation	NN
profession	NN
pattern	NN
quick	JJ
medical	JJ
influence	NN
occasion	NN
machine	NN
compare	VB
husband	NN
blue	JJ
international	JJ
fair	JJ
especially	RB
indeed	RB
imagine	VB
surprise	NN
average	NN
official	NN
